SSC-A,F4/80:Fluorescein (FITC),CD11c-biot:Qdot 605,Gr-1:APC,IgD:APC-Cy5.5,CD11b:APC-Cy7,I-Ad:PE,CD5:PE-Cy5,CD19:PE-Cy5.5,IgM:PE-Cy7
0.5526714,0.112802505,0.15341817,0.2556188,0.23015542,0.2097472,0.35986286,0.1359484,0.6399404,0.8059269
0.59398615,0.18169881,0.24969628,0.22764751,0.20702533,0.25167033,0.11775218,0.45717826,0.7308268,0.8825356
0.583634,0.10083479,0.07333582,0.24558133,0.16207086,0.11976636,0.5513256,0.350502,0.66197807,0.8384228
0.62359804,0.39689192,0.49975604,0.2708355,0.26163587,0.69724286,0.50789326,0.18118411,0.23494068,0.14563589
0.4843866,0.15705968,0.14959355,0.2591264,0.212271,0.32433492,0.1125022,0.12692727,0.22906299,0.1316647
0.5285118,0.15354857,0.12216226,0.23835538,0.12996016,0.2139865,0.5324946,0.41822925,0.64752793,0.6572018
0.7106251,0.8301999,0.50656134,0.2610225,0.46994293,0.8712832,0.48305097,0.49108374,0.38429075,0.65061814
0.728539,0.8101662,0.53803545,0.10739646,0.49138403,0.81304026,0.5083286,0.540421,0.29724118,0.51956046
0.7104806,0.75204074,0.46474528,0.25588107,0.42786345,0.8166324,0.4335816,0.43769392,0.3640315,0.53268677
0.6892614,0.8029047,0.4896346,0.209636,0.5124076,0.78030986,0.4511455,0.47395146,0.41192523,0.6262087
0.7092664,0.84303635,0.48002306,0.24406064,0.485653,0.8160664,0.45223543,0.4493382,0.27360782,0.44659147
0.5959973,0.13500956,0.20306449,0.24890667,0.21851662,0.19202945,0.49183318,0.30942056,0.6302252,0.7806128
0.5106852,0.13650526,0.21682344,0.23170877,0.50854933,0.16434003,0.4628881,0.28209656,0.5564504,0.5890183
0.5986708,0.33719265,0.64237493,0.25452033,0.262355,0.59196526,0.5693577,0.1679632,0.23318455,0.20737992
0.74732584,0.80673105,0.49834758,0.20838358,0.49533868,0.85813934,0.47554657,0.4867941,0.2837199,0.5237659
0.51257306,0.13071081,0.2112785,0.024492804,0.2321011,0.20347919,0.18984902,0.6821646,0.07867679,0.16121249
0.49727145,0.16707242,0.19236879,0.26823032,0.22128962,0.3236843,0.14372303,0.10087357,0.24204737,0.16913088
0.54836065,0.1769534,0.13813305,0.24201949,0.2814539,0.13676731,0.39551425,0.26272345,0.6272834,0.86923295
0.6888686,0.8412736,0.45873192,0.16949774,0.50471544,0.78257424,0.4614376,0.48828277,0.2666639,0.515054
0.6817271,0.74809355,0.46029657,0.24102864,0.4154792,0.7907482,0.4303374,0.4230682,0.25961733,0.44773528
0.7163419,0.495669,0.21333686,0.54815507,0.17327364,0.39312375,0.2051065,0.2178424,0.1953728,0.2160933
0.72397566,0.8322843,0.5073309,0.17347395,0.449825,0.84537756,0.49050224,0.50584567,0.19257593,0.4914137
0.50160915,0.1626155,0.09162724,0.21963906,0.32963482,0.24911664,0.39920267,0.45647,0.6168358,0.589932
